CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,EC1,EC2,EC3,EC4,EC5,EC6
C00009,8.881944444,-4.638888889,8.881944444,4.638888889,0.341890659,97.994,94.97,97.97689521,32,1,1,1,1,0,1
C00013,9.626875,-5.050347222,9.626875,2.958333333,0.407077681,177.973,173.941,177.9432257,56,1,1,1,1,0,1
C00014,0,0,0,0,0.397555062,17.031,14.007,17.0265491,8,1,1,1,1,0,1
C00017,10.86074074,-0.931481482,10.86074074,0.215832389,0.407584404,130.103,124.055,130.0378421,50,0,1,1,0,0,0
C00022,9.543981482,-1.37962963,9.543981482,0.824074074,0.445928385,88.062,84.03,88.01604399,34,1,1,1,1,0,1
C00024,12.61295555,-5.557255669,12.61295555,0.030982659,0.058692043,809.578,771.274,809.1257736,288,1,1,1,0,0,1
C00025,9.993880386,-1.165509259,9.993880386,0.023148148,0.485975531,147.13,138.058,147.0531578,58,1,1,1,1,1,1
C00026,10.18439815,-1.582175926,10.18439815,0.425462963,0.521625302,146.098,140.05,146.0215233,56,1,1,0,1,0,1
C00027,6,6,6,6,0.292487473,34.014,31.998,34.0054793,14,1,0,0,1,0,0
C00029,12.15447446,-5.59237418,12.15447446,0.722788616,0.126671054,566.302,542.11,566.0550206,206,1,1,1,1,1,0
C00030,9.11287037,-1.221388889,9.11287037,0.05212963,0.342657661,164.157,152.061,164.0684735,66,1,1,1,1,0,1
C00031,9.119537037,-1.568935185,9.119537037,0.525787037,0.290152855,180.156,168.06,180.0633881,72,1,1,1,0,1,0
C00033,9,-0.833333333,9,0.833333333,0.429882883,60.052,56.02,60.02112937,24,1,1,1,0,0,1
C00036,9.97287037,-1.710740741,9.97287037,0.949074074,0.383748266,132.071,128.039,132.0058732,50,1,1,1,1,1,0
C00037,9.243055556,-0.967592593,9.243055556,0.277777778,0.421170888,75.067,70.027,75.0320284,30,1,1,0,1,0,1
C00039,12.4512828,-4.490659888,12.4512828,0.013206994,0.276888673,475.3,450.1,475.0770391,173,0,1,0,0,0,1
C00040,12.61572563,-5.554169249,12.61572563,0.032582659,0.05958035,794.543,759.263,794.1022986,281,1,1,1,0,0,0
C00041,9.574074074,-0.962962963,9.574074074,0.731481482,0.451352188,89.094,82.038,89.04767846,36,1,1,0,0,1,1
C00042,9.640416667,-1.076481482,9.640416667,0.296296296,0.543771403,118.088,112.04,118.0266087,46,1,1,1,0,0,1
C00043,12.43866522,-5.627087584,12.43866522,0.722977133,0.112913595,607.355,580.139,607.0815697,222,1,1,1,1,1,0
